usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_2b1f9c80f1,25,1,24,0.04
USER_54b3275ce3,25,0,25,0.0
USER_5bd15d1d23,25,0,25,0.0
USER_f52df272ff,25,1,24,0.04
USER_35a3afbcab,8,1,7,0.125
USER_7f5121eee1,25,2,23,0.08
USER_1112690add,25,1,24,0.04
USER_c40c3beb94,25,0,25,0.0
USER_027e838c5f,25,0,25,0.0
USER_d8e843afb9,25,0,25,0.0
USER_a7ca8ea8ec,25,0,25,0.0
USER_d81228be0d,25,1,24,0.04
USER_d2232b7fd5,25,0,25,0.0
USER_4de5d11e0a,25,0,25,0.0
USER_c825b04f4b,25,0,25,0.0
USER_26a3c61ca9,11,1,10,0.091
USER_67bb2e6929,25,0,25,0.0
USER_4dba9f66ca,25,0,25,0.0
USER_2fcb47fa55,25,0,25,0.0
USER_9d8794f840,25,0,25,0.0
USER_d865b4e7c9,25,1,24,0.04
USER_c09ea10e1c,25,0,25,0.0
USER_8cd3b672e2,25,0,25,0.0
USER_30f847b67f,25,0,25,0.0
USER_bfb9dc0324,25,0,25,0.0
USER_8dd53cab26,1,0,1,0.0
USER_c81ff3244f,11,0,11,0.0
USER_572ee0f75d,25,0,25,0.0
USER_b2de04735a,25,0,25,0.0
USER_e5ba711077,25,0,25,0.0
USER_8f4da324ca,25,0,25,0.0
USER_3a28661f3f,25,0,25,0.0
USER_caf419cd3e,25,0,25,0.0
USER_1d57576789,25,0,25,0.0
USER_449a6353d9,25,0,25,0.0
USER_29fb34f7a9,9,0,9,0.0
USER_2a61fea01e,25,0,25,0.0
USER_7128d10bb9,25,0,25,0.0
USER_943cee1906,25,2,23,0.08
USER_07798d550a,25,0,25,0.0
USER_60eaa80aa7,25,0,25,0.0
USER_46d5c49c99,25,0,25,0.0
USER_8de11f36e2,25,0,25,0.0
USER_725b2fa948,25,0,25,0.0
USER_c7414abed1,25,0,25,0.0
USER_e24809694e,25,0,25,0.0
USER_d367fb790d,25,1,24,0.04
USER_66e6f79199,25,1,24,0.04
USER_f9d36166ed,25,0,25,0.0
USER_2fb78efeb5,25,0,25,0.0
USER_1fa9d8ab43,25,0,25,0.0
USER_5da7dd89d2,25,0,25,0.0
USER_f1b2551059,25,0,25,0.0
USER_21765b51e5,25,0,25,0.0
USER_6d2f11e7b2,25,0,25,0.0
USER_376ff6848f,25,0,25,0.0
USER_f17b31f476,25,2,23,0.08
USER_9ea2440634,25,0,25,0.0
USER_6a5f926f99,25,0,25,0.0
USER_abf7304443,25,0,25,0.0
USER_dce1205e93,25,2,23,0.08
USER_bcc29f46ef,25,2,23,0.08
USER_35c57b39da,25,0,25,0.0
USER_dc7c5c4f61,25,0,25,0.0
USER_d73ae0ff14,25,0,25,0.0
USER_00731547af,25,0,25,0.0
USER_87765ecfbb,25,1,24,0.04
USER_62830760b4,25,0,25,0.0
USER_f4a5500e59,25,0,25,0.0
USER_024a6aa6ce,25,0,25,0.0
USER_f4b1e38c46,25,2,23,0.08
USER_a318f0f8ff,25,1,24,0.04
USER_f1c0cb7d21,25,1,24,0.04
USER_4531b22eeb,25,2,23,0.08
USER_0081b456da,25,0,25,0.0
USER_0bfc145ecd,25,0,25,0.0
USER_4430f64e59,25,0,25,0.0
USER_12938b8640,14,3,11,0.214
USER_4a31deda56,25,1,24,0.04
USER_541793ffb1,25,0,25,0.0
USER_1096886c0b,25,2,23,0.08
USER_a0e215ef02,25,0,25,0.0
USER_0b4414a8f5,25,0,25,0.0
USER_85bb3b7deb,25,0,25,0.0
USER_1242883bb2,25,0,25,0.0
USER_7f7098d2ed,25,0,25,0.0
USER_f5dc1e878b,25,0,25,0.0
USER_02fd219ef8,25,0,25,0.0
USER_248c47aaf8,25,0,25,0.0
USER_10a1874d22,25,0,25,0.0
USER_71d44460d6,25,0,25,0.0
USER_fd3d488db5,25,0,25,0.0
USER_bb58b4e7d3,25,1,24,0.04
USER_4cdf455da7,25,0,25,0.0
USER_676d418860,25,0,25,0.0
USER_6f61edf10b,25,0,25,0.0
USER_6899370e84,25,0,25,0.0
USER_0fa3943f2d,25,0,25,0.0
USER_03c8626dc1,25,0,25,0.0
USER_36a7f4728d,25,0,25,0.0
USER_7392687b7e,25,0,25,0.0
USER_95b2bf70be,25,0,25,0.0
USER_6fbdf82047,25,0,25,0.0
USER_e345dde139,25,2,23,0.08
USER_cb6f4bf48a,25,0,25,0.0
USER_ca4a9568a5,25,0,25,0.0
USER_3ee2e2c149,25,0,25,0.0
USER_6bca830cf9,25,0,25,0.0
USER_34e2dd2184,25,0,25,0.0
USER_1e8273f213,25,1,24,0.04
USER_9b0f99adde,25,0,25,0.0
USER_3e8a30ed72,25,0,25,0.0
USER_290f8a7aea,25,0,25,0.0
USER_1d6553d8c3,25,0,25,0.0
USER_03bc2e42e8,25,0,25,0.0
USER_0d1f044d5a,7,0,7,0.0
USER_4f98013150,25,0,25,0.0
USER_88e526190b,25,0,25,0.0
USER_99d8b92bee,25,1,24,0.04
USER_8bce21e6a5,25,0,25,0.0
USER_c560b398ea,25,1,24,0.04
USER_96034a9028,25,0,25,0.0
USER_0fb2ecbb4f,25,0,25,0.0
USER_c48e51be51,25,0,25,0.0
